Fold,MAE (kcal/mol),parameters
4,0.91114616,"[1, 204, 1, 118, 0.99, 0.857, 0.15006999999999998]"
4,0.99577886,"[1, 204, 1, 5, 0.8380000000000001, 0.8, 0.15006999999999998]"
4,0.7672023,"[2, 261, 2, 175, 0.971, 0.8380000000000001, 0.0001]"
4,1.0389987,"[2, 118, 2, 5, 0.971, 0.8190000000000001, 0.20006]"
4,1.1689619,"[2, 5, 1, 175, 0.971, 0.8380000000000001, 0.10008]"
4,0.97887325,"[2, 204, 1, 33, 0.876, 0.933, 0.30004]"
4,1.0049623,"[2, 204, 1, 204, 0.8380000000000001, 0.99, 0.10008]"
4,0.93352294,"[1, 118, 2, 232, 0.857, 0.914, 0.10008]"
4,0.9050432,"[2, 204, 1, 204, 0.876, 0.8, 0.5]"
4,1.0517282,"[1, 5, 2, 261, 0.952, 0.8190000000000001, 0.40002]"
4,1.1830922,"[1, 118, 2, 261, 0.99, 0.99, 0.30004]"
4,0.9095155,"[1, 261, 2, 232, 0.971, 0.8380000000000001, 0.10008]"
4,0.92601144,"[2, 204, 2, 90, 0.933, 0.99, 0.30004]"
4,1.1805865,"[1, 5, 2, 5, 0.99, 0.8, 0.45000999999999997]"
4,0.8948773,"[1, 175, 2, 118, 0.8380000000000001, 0.933, 0.0001]"
4,0.84309846,"[2, 61, 1, 61, 0.914, 0.933, 0.40002]"
4,0.94432586,"[2, 175, 1, 147, 0.99, 0.914, 0.0001]"
4,1.0633316,"[2, 33, 2, 33, 0.876, 0.914, 0.40002]"
4,0.8770518,"[2, 147, 2, 5, 0.99, 0.914, 0.20006]"
4,0.9657526,"[2, 61, 2, 147, 0.99, 0.914, 0.0001]"
4,0.9644298,"[1, 90, 1, 61, 0.99, 0.914, 0.30004]"
4,1.040313,"[1, 5, 1, 147, 0.8190000000000001, 0.933, 0.40002]"
4,1.0829918,"[2, 5, 2, 147, 0.99, 0.933, 0.5]"
4,0.94551224,"[2, 147, 1, 261, 0.971, 0.971, 0.5]"
4,0.9095787,"[2, 147, 2, 5, 0.952, 0.8190000000000001, 0.05009]"
4,1.0426776,"[2, 61, 1, 61, 0.952, 0.952, 0.40002]"
4,0.83585817,"[2, 147, 2, 61, 0.8190000000000001, 0.8190000000000001, 0.20006]"
4,2.6349633,"[2, 147, 2, 5, 0.952, 0.914, 0.40002]"
4,0.883387,"[2, 90, 2, 175, 0.914, 0.8190000000000001, 0.25005]"
4,0.88340026,"[2, 33, 1, 261, 0.914, 0.8, 0.05009]"
4,1.0820525,"[2, 118, 1, 118, 0.857, 0.8190000000000001, 0.40002]"
4,0.79604757,"[1, 90, 1, 5, 0.8380000000000001, 0.857, 0.40002]"
4,0.7974834,"[2, 147, 2, 5, 0.952, 0.8, 0.0001]"
4,1.0469762,"[2, 33, 2, 90, 0.876, 0.99, 0.45000999999999997]"
4,0.9980019,"[1, 147, 2, 61, 0.895, 0.8190000000000001, 0.20006]"
4,1.7833674,"[2, 118, 2, 5, 0.876, 0.8190000000000001, 0.25005]"
4,0.96699625,"[2, 61, 1, 232, 0.895, 0.8190000000000001, 0.0001]"
4,1.324078,"[1, 61, 1, 5, 0.952, 0.8190000000000001, 0.10008]"
4,0.83931005,"[2, 90, 2, 175, 0.8, 0.8, 0.0001]"
4,0.79602724,"[2, 147, 2, 175, 0.914, 0.8190000000000001, 0.10008]"
4,0.8029163,"[1, 118, 2, 147, 0.8380000000000001, 0.933, 0.05009]"
4,0.9706506,"[1, 90, 1, 90, 0.895, 0.8190000000000001, 0.05009]"
4,0.84841496,"[1, 118, 1, 5, 0.876, 0.971, 0.05009]"
4,0.9143887,"[2, 90, 2, 5, 0.8, 0.895, 0.0001]"
4,0.9314076,"[2, 61, 1, 118, 0.895, 0.8190000000000001, 0.05009]"
4,0.88049215,"[1, 33, 1, 118, 0.99, 0.8190000000000001, 0.0001]"
4,0.83269805,"[1, 175, 2, 5, 0.8380000000000001, 0.895, 0.0001]"
4,0.8902967,"[1, 33, 2, 147, 0.8380000000000001, 0.914, 0.45000999999999997]"
4,0.7954956,"[2, 90, 2, 5, 0.8, 0.914, 0.05009]"
4,1.1203035,"[1, 175, 2, 5, 0.857, 0.8190000000000001, 0.0001]"
4,1.0587857,"[1, 33, 2, 5, 0.952, 0.8190000000000001, 0.05009]"
4,1.2438318,"[2, 33, 2, 5, 0.971, 0.8190000000000001, 0.40002]"
4,1.0113777,"[1, 118, 2, 5, 0.914, 0.914, 0.20006]"
4,0.85071313,"[2, 5, 1, 5, 0.8380000000000001, 0.99, 0.05009]"
4,0.91097254,"[1, 118, 1, 33, 0.876, 0.876, 0.05009]"
4,2.7334583,"[1, 204, 1, 5, 0.876, 0.8190000000000001, 0.05009]"
4,1.2095294,"[2, 61, 2, 5, 0.8380000000000001, 0.8190000000000001, 0.40002]"
4,0.8193936,"[2, 61, 1, 5, 0.876, 0.857, 0.40002]"
4,0.7724422,"[1, 261, 1, 5, 0.876, 0.8380000000000001, 0.05009]"
4,1.0426208,"[2, 61, 2, 5, 0.971, 0.857, 0.40002]"
4,1.1150079,"[2, 147, 1, 261, 0.914, 0.8190000000000001, 0.35003]"
5,0.6890817,"[2, 261, 1, 61, 0.857, 0.933, 0.20006]"
5,0.76814103,"[1, 175, 1, 90, 0.8380000000000001, 0.8190000000000001, 0.0001]"
5,0.7877489,"[2, 261, 2, 261, 0.857, 0.99, 0.45000999999999997]"
5,0.6102078,"[2, 90, 1, 118, 0.971, 0.876, 0.0001]"
5,0.8124854,"[1, 61, 2, 33, 0.857, 0.895, 0.35003]"
5,0.92627347,"[1, 232, 1, 118, 0.914, 0.8380000000000001, 0.35003]"
5,0.738184,"[1, 147, 1, 5, 0.8380000000000001, 0.857, 0.15006999999999998]"
5,0.6905046,"[2, 175, 2, 33, 0.857, 0.952, 0.15006999999999998]"
5,0.90090066,"[1, 204, 1, 33, 0.857, 0.8, 0.10008]"
5,0.87414014,"[1, 232, 1, 5, 0.971, 0.8190000000000001, 0.40002]"
5,0.826712,"[1, 90, 2, 61, 0.99, 0.857, 0.0001]"
5,0.77568597,"[2, 90, 1, 61, 0.971, 0.933, 0.0001]"
5,0.77140164,"[2, 90, 2, 175, 0.895, 0.876, 0.0001]"
5,0.6673488,"[2, 90, 1, 118, 0.971, 0.876, 0.0001]"
5,0.67259175,"[2, 90, 1, 204, 0.971, 0.876, 0.0001]"
5,0.75016534,"[2, 33, 1, 118, 0.971, 0.876, 0.10008]"
5,0.74087536,"[2, 118, 1, 118, 0.857, 0.876, 0.0001]"
5,0.8521208,"[2, 90, 1, 118, 0.8190000000000001, 0.876, 0.45000999999999997]"
5,0.73955256,"[2, 90, 1, 118, 0.952, 0.876, 0.0001]"
5,0.7178091,"[2, 118, 2, 118, 0.971, 0.876, 0.0001]"
5,0.95380604,"[2, 261, 1, 232, 0.8, 0.933, 0.20006]"
5,0.7388588,"[2, 90, 1, 147, 0.971, 0.876, 0.0001]"
5,0.6758591,"[2, 204, 1, 90, 0.971, 0.876, 0.0001]"
5,0.82658935,"[2, 90, 1, 61, 0.971, 0.8, 0.10008]"
5,1.045344,"[2, 5, 1, 118, 0.971, 0.876, 0.0001]"
5,0.76872915,"[2, 261, 2, 61, 0.952, 0.914, 0.20006]"
5,0.7301964,"[2, 232, 2, 175, 0.895, 0.952, 0.15006999999999998]"
5,0.73563313,"[2, 175, 1, 5, 0.8380000000000001, 0.952, 0.15006999999999998]"
5,0.80857044,"[2, 61, 2, 33, 0.99, 0.952, 0.15006999999999998]"
5,0.6981313,"[2, 147, 1, 5, 0.971, 0.876, 0.0001]"
5,0.7735294,"[2, 232, 2, 33, 0.857, 0.971, 0.15006999999999998]"
5,0.7409574,"[2, 261, 1, 61, 0.914, 0.933, 0.20006]"
5,0.78161335,"[1, 175, 1, 261, 0.8380000000000001, 0.99, 0.15006999999999998]"
5,0.73530453,"[2, 61, 1, 33, 0.857, 0.876, 0.0001]"
5,0.7833557,"[2, 90, 1, 33, 0.971, 0.876, 0.0001]"
5,0.7436903,"[2, 61, 1, 118, 0.971, 0.876, 0.0001]"
5,0.72611725,"[2, 261, 2, 33, 0.876, 0.857, 0.15006999999999998]"
5,0.79301107,"[2, 61, 2, 175, 0.857, 0.971, 0.20006]"
5,0.72611785,"[2, 61, 1, 33, 0.857, 0.8, 0.15006999999999998]"
5,0.79633445,"[2, 33, 1, 61, 0.933, 0.933, 0.5]"
5,0.7688693,"[1, 175, 1, 147, 0.857, 0.876, 0.15006999999999998]"
5,0.77884316,"[2, 232, 2, 204, 0.8, 0.857, 0.25005]"
5,0.67513126,"[1, 204, 2, 232, 0.857, 0.99, 0.0001]"
5,0.7800361,"[1, 147, 2, 232, 0.857, 0.99, 0.5]"
5,0.7116635,"[2, 61, 1, 232, 0.952, 0.895, 0.0001]"
5,0.73852336,"[2, 90, 2, 232, 0.971, 0.971, 0.0001]"
5,0.716199,"[1, 261, 1, 61, 0.99, 0.933, 0.20006]"
5,0.67992157,"[2, 261, 1, 232, 0.933, 0.933, 0.0001]"
5,0.68305534,"[1, 175, 2, 118, 0.857, 0.8, 0.0001]"
5,0.78849196,"[2, 33, 1, 61, 0.876, 0.8380000000000001, 0.20006]"
5,0.9933731,"[1, 5, 2, 90, 0.914, 0.952, 0.5]"
5,0.74589515,"[2, 90, 2, 90, 0.914, 0.895, 0.0001]"
5,0.7877691,"[1, 33, 1, 90, 0.876, 0.895, 0.25005]"
5,0.70915025,"[1, 147, 1, 5, 0.971, 0.876, 0.0001]"
5,0.7041248,"[2, 90, 2, 90, 0.857, 0.895, 0.0001]"
5,0.80125266,"[2, 5, 1, 5, 0.895, 0.8, 0.15006999999999998]"
5,1.0607095,"[1, 5, 1, 175, 0.8, 0.8380000000000001, 0.15006999999999998]"
5,0.64269197,"[1, 33, 1, 118, 0.971, 0.933, 0.0001]"
5,0.6938539,"[2, 204, 1, 33, 0.857, 0.857, 0.20006]"
5,0.71775514,"[1, 204, 2, 33, 0.8190000000000001, 0.933, 0.20006]"
5,0.85399,"[2, 175, 2, 33, 0.876, 0.952, 0.35003]"
5,0.7838463,"[2, 175, 2, 33, 0.857, 0.8380000000000001, 0.20006]"
5,0.8951431,"[1, 61, 1, 33, 0.857, 0.914, 0.20006]"
5,0.8599732,"[1, 61, 1, 90, 0.952, 0.895, 0.20006]"
5,0.65909743,"[1, 175, 2, 33, 0.895, 0.933, 0.15006999999999998]"
5,0.84917575,"[2, 232, 1, 33, 0.895, 0.99, 0.05009]"
5,0.7417777,"[2, 175, 2, 33, 0.895, 0.857, 0.30004]"
5,0.9085972,"[1, 61, 1, 33, 0.895, 0.933, 0.15006999999999998]"
5,0.6648828,"[1, 61, 2, 33, 0.8380000000000001, 0.8, 0.0001]"
5,0.641695,"[2, 33, 1, 261, 0.8, 0.8, 0.0001]"
5,0.6830444,"[1, 33, 1, 175, 0.933, 0.8, 0.0001]"
5,0.74675786,"[2, 61, 1, 33, 0.8, 0.8, 0.0001]"
5,0.86563426,"[1, 5, 2, 90, 0.8190000000000001, 0.8, 0.0001]"
5,0.8188394,"[2, 33, 1, 118, 0.8, 0.857, 0.0001]"
5,0.63955945,"[2, 204, 1, 90, 0.857, 0.895, 0.0001]"
5,0.7242188,"[1, 33, 2, 5, 0.8380000000000001, 0.952, 0.0001]"
5,0.8214885,"[2, 33, 1, 118, 0.8190000000000001, 0.8, 0.0001]"
5,0.7394447,"[1, 232, 2, 261, 0.952, 0.8, 0.0001]"
5,0.7733435,"[2, 147, 2, 261, 0.876, 0.8, 0.25005]"
5,0.82243264,"[1, 232, 1, 33, 0.895, 0.8190000000000001, 0.25005]"
5,0.69981754,"[1, 204, 1, 118, 0.857, 0.952, 0.0001]"
5,0.6379287,"[1, 175, 2, 5, 0.895, 0.952, 0.0001]"
5,0.705004,"[1, 175, 2, 204, 0.895, 0.952, 0.0001]"
5,0.7328845,"[2, 175, 2, 5, 0.895, 0.895, 0.0001]"
5,0.7392349,"[1, 61, 2, 33, 0.8380000000000001, 0.895, 0.5]"
5,0.93387944,"[1, 175, 2, 33, 0.895, 0.952, 0.30004]"
5,0.72683537,"[2, 33, 2, 33, 0.8, 0.8, 0.0001]"
5,0.8317913,"[1, 118, 2, 5, 0.8380000000000001, 0.857, 0.20006]"
5,0.7914842,"[1, 175, 2, 5, 0.8, 0.952, 0.25005]"
5,0.73940486,"[1, 175, 1, 5, 0.8380000000000001, 0.8, 0.0001]"
5,1.1015699,"[1, 175, 2, 5, 0.857, 0.952, 0.0001]"
5,0.8010038,"[1, 175, 2, 90, 0.895, 0.895, 0.40002]"
5,0.73946756,"[1, 175, 2, 33, 0.895, 0.8190000000000001, 0.40002]"
5,2.762013,"[1, 175, 2, 5, 0.895, 0.952, 0.25005]"
5,0.73849773,"[2, 204, 1, 5, 0.857, 0.952, 0.0001]"
5,0.74560046,"[2, 175, 2, 33, 0.857, 0.8, 0.15006999999999998]"
5,0.79092276,"[1, 33, 1, 147, 0.895, 0.8190000000000001, 0.0001]"
5,0.7235686,"[1, 33, 2, 90, 0.8, 0.8, 0.0001]"
5,0.7218576,"[1, 175, 1, 204, 0.895, 0.8190000000000001, 0.10008]"
5,0.7364953,"[1, 232, 2, 33, 0.895, 0.952, 0.0001]"
